NA18488	ERR204961
NA19092	ERR188128
NA19141	ERR188193
NA19143	ERR204913
NA19144	ERR204985
NA19153	ERR188460
NA19159	ERR204821
NA19184	ERR188103
NA19201	ERR188275
NA19206	ERR204959
NA19210	ERR205021
NA19214	ERR204923
NA18486	ERR204859
NA18487	ERR204991
NA18489	ERR204949
NA18498	ERR204925
NA18499	ERR188449
NA18502	ERR205019
NA18505	ERR188273
NA18508	ERR188162
NA18510	ERR188165
NA18511	ERR204996
NA18517	ERR188060
NA18519	ERR188200
NA18520	ERR188085
NA18858	ERR205013
NA18861	ERR188278
NA18867	ERR188298
NA18868	ERR204963
NA18870	ERR205017
NA18873	ERR204842
NA18907	ERR188283
NA18908	ERR204942
NA18909	ERR188352
NA18910	ERR188442
NA18912	ERR204851
NA18916	ERR204903
NA18917	ERR188139
NA18923	ERR204889
NA18933	ERR188096
NA18934	ERR204888
NA19093	ERR204825
NA19095	ERR188268
NA19096	ERR204969
NA19098	ERR188243
NA19099	ERR204912
NA19102	ERR188367
NA19107	ERR204849
NA19108	ERR204878
NA19113	ERR188221
NA19114	ERR205000
NA19116	ERR204980
NA19117	ERR188365
NA19118	ERR204847
NA19119	ERR188030
NA19121	ERR188109
NA19129	ERR188444
NA19130	ERR204987
NA19131	ERR204922
NA19137	ERR188072
NA19138	ERR204837
NA19146	ERR205007
NA19147	ERR188184
NA19149	ERR188451
NA19150	ERR204989
NA19152	ERR204845
NA19160	ERR204981
NA19171	ERR188055
NA19172	ERR188422
NA19175	ERR204988
NA19185	ERR204971
NA19189	ERR204904
NA19190	ERR204997
NA19197	ERR188129
NA19198	ERR205020
NA19200	ERR204966
NA19204	ERR188042
NA19207	ERR204829
NA19209	ERR188434
NA19213	ERR204906
NA19222	ERR204970
NA19223	ERR204820
NA19235	ERR188390
NA19236	ERR204995
NA19247	ERR204880
NA19248	ERR204852
NA19256	ERR204933
NA19257	ERR204938
